Image,Coordinates
image_00011.png,"[(232, 695), (100, 694), (259, 689), (137, 684), (629, 669), (697, 655), (508, 655), (474, 651), (109, 632), (686, 626), (333, 626), (52, 624), (42, 587), (598, 584), (202, 580), (648, 578), (481, 570), (226, 556), (15, 531), (401, 509), (458, 505), (470, 502), (114, 468), (706, 447), (527, 442), (204, 432), (134, 422), (603, 414), (341, 385), (390, 380), (146, 373), (507, 372), (479, 371), (8, 358), (43, 342), (693, 335), (292, 331), (625, 328), (36, 316), (236, 314), (74, 311), (440, 303), (104, 300), (498, 300), (44, 287), (534, 279), (546, 272), (278, 255), (554, 254), (708, 252), (180, 250), (585, 247), (575, 246), (509, 239), (62, 236), (33, 230), (441, 221), (7, 219), (228, 208), (601, 204), (29, 202), (483, 202), (651, 201), (365, 195), (364, 187), (100, 181), (420, 169), (400, 169), (287, 143), (632, 130), (556, 127), (641, 121), (87, 114), (690, 114), (324, 110), (137, 110), (364, 104), (604, 83), (669, 80), (705, 72), (316, 65), (180, 59), (602, 52), (654, 25), (1, 24), (17, 24), (217, 23), (174, 22), (518, 16), (148, 16), (618, 2)]"
image_00012.png,"[(573, 697), (480, 698), (703, 693), (350, 690), (285, 682), (466, 661), (501, 655), (452, 650), (381, 626), (631, 596), (188, 596), (598, 594), (387, 567), (122, 567), (649, 560), (673, 549), (698, 539), (165, 532), (573, 513), (490, 491), (189, 479), (655, 449), (149, 415), (297, 402), (86, 399), (667, 397), (606, 396), (264, 395), (121, 385), (29, 385), (443, 369), (489, 358), (389, 320), (704, 319), (251, 319), (508, 314), (227, 309), (584, 300), (435, 300), (464, 289), (651, 282), (233, 278), (285, 267), (657, 227), (414, 214), (245, 189), (100, 165), (237, 140), (641, 137), (521, 126), (103, 98), (406, 90), (679, 80), (710, 61), (93, 57), (391, 45), (231, 32), (144, 27), (654, 20)]"
image_00013.png,"[(540, 703), (127, 698), (274, 682), (573, 671), (484, 662), (430, 644), (261, 642), (145, 631), (528, 631), (640, 627), (263, 626), (297, 611), (506, 604), (104, 599), (330, 598), (677, 582), (332, 557), (18, 555), (439, 531), (308, 518), (276, 504), (269, 506), (283, 503), (252, 503), (269, 500), (632, 499), (277, 493), (261, 484), (246, 481), (412, 467), (485, 452), (53, 444), (468, 422), (544, 401), (165, 391), (107, 381), (252, 372), (477, 351), (551, 328), (673, 321), (527, 315), (359, 313), (674, 297), (620, 296), (339, 293), (278, 289), (14, 281), (648, 277), (477, 277), (415, 264), (40, 243), (505, 223), (461, 222), (669, 194), (620, 186), (210, 154), (425, 154), (203, 153), (369, 151), (381, 143), (678, 141), (551, 136), (604, 105), (396, 104), (40, 97), (509, 85), (165, 73), (292, 65), (55, 44), (342, 11), (452, 4)]"
image_00014.png,"[(422, 684), (653, 663), (632, 651), (216, 633), (278, 619), (355, 606), (348, 582), (666, 567), (149, 533), (422, 525), (167, 514), (117, 511), (429, 505), (660, 503), (566, 499), (587, 497), (22, 494), (472, 492), (504, 481), (161, 473), (221, 472), (453, 457), (262, 456), (220, 449), (508, 438), (227, 431), (290, 426), (263, 410), (24, 390), (698, 370), (464, 365), (695, 346), (476, 344), (645, 336), (37, 330), (474, 325), (391, 292), (687, 288), (665, 217), (474, 206), (617, 191), (84, 182), (667, 178), (403, 161), (422, 156), (410, 138), (317, 137), (404, 126), (578, 116), (144, 60), (378, 47), (87, 44), (260, 41), (615, 21), (541, 14)]"
image_00015.png,"[(279, 698), (520, 695), (502, 690), (36, 688), (403, 686), (601, 686), (72, 686), (346, 684), (125, 684), (362, 684), (181, 678), (687, 670), (601, 667), (629, 664), (323, 661), (409, 659), (654, 650), (103, 648), (9, 628), (283, 625), (299, 619), (672, 615), (651, 613), (295, 609), (685, 601), (283, 598), (550, 591), (157, 584), (694, 577), (393, 575), (267, 559), (438, 553), (75, 553), (542, 532), (535, 517), (273, 511), (234, 509), (47, 507), (172, 498), (401, 494), (601, 484), (447, 484), (558, 476), (13, 469), (35, 468), (227, 462), (68, 454), (473, 452), (666, 441), (508, 436), (659, 433), (690, 428), (235, 400), (411, 396), (592, 378), (576, 376), (62, 373), (376, 370), (520, 363), (436, 363), (534, 360), (490, 353), (164, 350), (185, 336), (692, 335), (285, 328), (130, 328), (420, 323), (539, 321), (21, 307), (104, 290), (668, 277), (519, 277), (90, 260), (654, 246), (337, 238), (684, 227), (374, 225), (634, 224), (656, 220), (715, 217), (38, 212), (558, 186), (166, 182), (136, 178), (437, 172), (389, 169), (158, 159), (697, 144), (406, 143), (330, 143), (600, 137), (444, 130), (630, 127), (472, 122), (426, 119), (1, 120), (474, 97), (514, 72), (686, 53), (38, 36), (127, 17), (464, 15)]"
image_00016.png,"[(343, 718), (600, 704), (161, 697), (265, 689), (229, 681), (640, 680), (382, 678), (233, 667), (512, 661), (176, 649), (236, 634), (718, 634), (670, 624), (645, 616), (188, 610), (680, 604), (458, 562), (223, 547), (210, 534), (150, 533), (279, 501), (288, 496), (148, 485), (665, 435), (151, 423), (42, 405), (651, 391), (414, 387), (59, 386), (318, 363), (264, 353), (449, 352), (182, 348), (204, 337), (654, 328), (363, 320), (328, 299), (371, 298), (202, 278), (576, 253), (110, 244), (254, 218), (706, 212), (592, 207), (452, 196), (237, 194), (706, 172), (533, 136), (25, 127), (177, 126), (197, 86), (201, 79), (19, 76), (386, 58), (375, 49), (320, 32), (543, 27)]"
image_00017.png,"[(460, 716), (145, 696), (429, 686), (208, 656), (115, 649), (198, 645), (68, 620), (371, 612), (275, 593), (5, 584), (373, 569), (81, 530), (652, 513), (490, 513), (293, 505), (409, 485), (214, 473), (715, 467), (677, 465), (315, 458), (342, 443), (205, 443), (329, 432), (141, 429), (480, 427), (153, 409), (121, 407), (650, 404), (146, 399), (706, 399), (459, 398), (516, 395), (552, 387), (134, 388), (493, 387), (353, 345), (70, 325), (597, 318), (87, 310), (596, 293), (652, 291), (296, 280), (193, 278), (677, 252), (481, 244), (27, 238), (700, 236), (216, 234), (454, 232), (361, 229), (142, 207), (116, 192), (180, 184), (492, 170), (157, 164), (412, 162), (651, 138), (225, 137), (615, 117), (181, 101), (168, 99), (556, 78), (466, 67), (615, 24), (106, 24)]"
image_00018.png,"[(551, 718), (222, 710), (651, 708), (459, 703), (64, 698), (338, 683), (615, 677), (38, 670), (459, 660), (292, 656), (416, 647), (338, 645), (615, 633), (494, 602), (478, 590), (321, 584), (124, 574), (624, 550), (552, 543), (129, 533), (137, 510), (226, 508), (76, 503), (526, 491), (399, 488), (682, 452), (115, 445), (616, 443), (58, 440), (310, 432), (679, 417), (11, 410), (321, 408), (577, 381), (376, 373), (156, 372), (606, 357), (30, 326), (713, 324), (539, 319), (652, 318), (491, 309), (549, 303), (55, 296), (158, 290), (143, 279), (210, 267), (151, 268), (214, 265), (43, 264), (68, 259), (309, 256), (429, 253), (441, 237), (399, 230), (127, 223), (23, 218), (281, 196), (694, 178), (628, 148), (410, 132), (36, 123), (672, 114), (137, 89), (302, 87), (698, 60), (245, 40), (64, 13)]"
image_00019.png,"[(590, 704), (608, 690), (203, 685), (298, 645), (34, 641), (179, 632), (701, 596), (322, 587), (521, 573), (628, 566), (580, 546), (331, 527), (30, 513), (272, 501), (43, 494), (50, 472), (153, 447), (510, 400), (676, 388), (716, 382), (695, 377), (521, 374), (358, 350), (586, 348), (115, 340), (77, 287), (631, 278), (400, 277), (453, 271), (78, 247), (128, 222), (257, 218), (268, 213), (650, 213), (124, 212), (265, 207), (198, 194), (369, 192), (609, 179), (401, 154), (386, 146), (524, 134), (329, 124), (221, 110), (438, 109), (265, 98), (439, 63), (502, 61), (13, 51), (561, 23), (310, 1)]"
image_00020.png,"[(84, 680), (587, 647), (545, 644), (511, 627), (108, 617), (52, 611), (302, 538), (535, 525), (41, 506), (591, 494), (23, 488), (549, 484), (538, 483), (582, 474), (122, 414), (575, 413), (40, 413), (298, 401), (391, 371), (270, 369), (86, 366), (584, 356), (248, 355), (557, 352), (553, 337), (653, 333), (402, 325), (323, 322), (193, 319), (543, 317), (170, 283), (175, 261), (33, 241), (240, 219), (359, 195), (56, 190), (140, 189), (44, 186), (135, 177), (114, 169), (99, 163), (19, 159), (184, 159), (191, 156), (498, 143), (80, 141), (409, 140), (102, 139), (224, 136), (423, 135), (357, 135), (83, 133), (114, 128), (308, 115), (656, 114), (674, 96), (624, 92), (530, 73), (669, 54), (16, 4)]"
image_00021.png,"[(162, 715), (15, 712), (124, 683), (517, 680), (498, 671), (669, 660), (677, 652), (469, 638), (368, 636), (519, 633), (640, 627), (620, 619), (646, 615), (628, 610), (198, 604), (52, 603), (645, 602), (699, 594), (423, 587), (488, 584), (573, 577), (389, 578), (133, 559), (234, 539), (288, 534), (86, 506), (213, 482), (426, 481), (635, 480), (140, 450), (674, 433), (270, 410), (518, 403), (117, 402), (106, 393), (535, 380), (615, 365), (623, 359), (182, 348), (465, 335), (559, 329), (417, 321), (329, 320), (621, 318), (147, 316), (495, 286), (289, 283), (101, 284), (491, 270), (540, 266), (628, 264), (576, 264), (684, 260), (232, 253), (287, 250), (263, 248), (302, 246), (77, 229), (607, 228), (425, 218), (514, 206), (350, 202), (155, 185), (451, 174), (249, 174), (662, 166), (478, 146), (476, 142), (581, 132), (120, 121), (124, 109), (385, 106), (554, 86), (679, 79), (106, 76), (84, 67), (254, 60), (298, 56), (173, 57), (349, 48), (543, 47), (521, 47), (175, 44), (576, 33), (370, 21), (7, 1)]"
image_00022.png,"[(394, 716), (403, 692), (482, 689), (584, 674), (319, 650), (156, 650), (436, 648), (218, 647), (252, 639), (53, 635), (471, 630), (450, 630), (362, 610), (534, 607), (276, 603), (210, 588), (217, 585), (86, 585), (288, 580), (131, 567), (128, 508), (43, 491), (446, 464), (371, 462), (430, 460), (675, 446), (387, 437), (7, 435), (239, 424), (615, 420), (43, 401), (78, 381), (109, 380), (399, 362), (257, 354), (139, 354), (79, 310), (663, 278), (440, 268), (377, 265), (430, 236), (680, 231), (128, 218), (384, 216), (693, 192), (178, 180), (194, 174), (331, 172), (390, 165), (145, 164), (433, 161), (54, 161), (259, 153), (450, 147), (35, 124), (717, 116), (656, 114), (100, 77), (128, 69), (656, 66), (388, 61), (265, 49), (165, 17), (422, 15), (388, 16), (660, 3)]"
image_00023.png,"[(89, 718), (488, 712), (178, 710), (24, 710), (149, 706), (492, 686), (33, 677), (106, 677), (219, 655), (87, 626), (131, 612), (358, 595), (264, 584), (88, 583), (511, 579), (200, 564), (73, 523), (33, 466), (222, 452), (321, 436), (284, 424), (338, 422), (301, 420), (350, 414), (19, 402), (531, 396), (371, 376), (117, 376), (684, 370), (604, 370), (626, 349), (708, 345), (670, 345), (588, 336), (524, 328), (250, 314), (681, 313), (715, 303), (647, 276), (246, 273), (711, 238), (619, 229), (702, 227), (193, 216), (251, 213), (364, 211), (573, 199), (426, 199), (453, 190), (298, 182), (275, 164), (511, 162), (427, 162), (164, 151), (411, 146), (380, 115), (316, 113), (587, 110), (85, 108), (243, 93), (714, 23), (142, 15), (649, 8)]"
image_00024.png,"[(223, 705), (70, 695), (714, 669), (318, 625), (713, 619), (503, 573), (508, 549), (349, 533), (225, 531), (122, 506), (418, 495), (704, 483), (39, 478), (16, 473), (503, 454), (394, 445), (241, 439), (613, 434), (119, 421), (315, 420), (254, 384), (179, 381), (80, 377), (300, 344), (427, 337), (369, 315), (716, 308), (64, 305), (588, 293), (53, 290), (561, 284), (643, 280), (416, 268), (3, 251), (469, 249), (459, 249), (267, 203), (6, 194), (202, 181), (548, 168), (513, 147), (195, 115), (126, 113), (567, 102), (581, 89), (123, 77), (280, 75), (135, 65), (613, 61), (36, 31), (636, 31), (467, 14), (137, 12)]"
image_00025.png,"[(574, 693), (557, 684), (385, 681), (483, 667), (137, 648), (173, 638), (352, 637), (374, 626), (86, 617), (328, 611), (687, 597), (515, 594), (609, 588), (396, 587), (177, 581), (279, 554), (346, 545), (512, 543), (661, 539), (262, 538), (15, 538), (526, 537), (608, 535), (192, 530), (515, 524), (54, 521), (718, 477), (652, 474), (587, 466), (579, 452), (119, 418), (274, 402), (453, 399), (364, 393), (450, 388), (456, 365), (278, 353), (126, 347), (488, 334), (524, 325), (182, 322), (613, 318), (454, 285), (536, 280), (596, 270), (608, 229), (621, 208), (393, 175), (463, 167), (519, 151), (88, 143), (75, 143), (688, 126), (168, 118), (617, 111), (79, 60), (85, 54), (446, 48), (167, 45), (132, 45), (602, 43), (550, 42), (616, 38), (1, 26), (662, 2)]"
image_00026.png,"[(469, 718), (363, 717), (58, 710), (305, 704), (344, 700), (280, 686), (665, 684), (125, 684), (627, 676), (125, 667), (359, 654), (347, 647), (633, 639), (52, 623), (37, 613), (710, 589), (93, 588), (408, 577), (629, 557), (665, 553), (493, 551), (666, 541), (685, 539), (145, 534), (428, 515), (419, 514), (613, 508), (193, 494), (259, 493), (143, 483), (92, 480), (475, 477), (588, 457), (494, 443), (418, 426), (611, 416), (174, 404), (221, 402), (313, 401), (293, 364), (280, 352), (714, 349), (596, 340), (230, 311), (146, 309), (75, 302), (78, 293), (192, 292), (563, 287), (295, 286), (406, 283), (544, 277), (201, 262), (575, 260), (55, 260), (554, 254), (537, 244), (716, 236), (105, 230), (248, 229), (355, 225), (258, 221), (141, 218), (252, 217), (707, 215), (229, 213), (452, 212), (120, 211), (466, 210), (121, 208), (127, 205), (103, 201), (707, 201), (100, 196), (14, 196), (80, 195), (463, 192), (149, 190), (670, 183), (715, 183), (461, 182), (200, 175), (105, 174), (42, 174), (535, 165), (111, 160), (442, 155), (256, 155), (111, 155), (270, 151), (74, 151), (712, 149), (105, 147), (458, 145), (349, 144), (716, 134), (197, 127), (690, 123), (471, 119), (192, 119), (34, 117), (640, 117), (561, 104), (262, 62), (201, 56), (135, 52), (392, 43), (149, 30), (559, 17), (207, 17), (280, 5), (53, 4), (190, 0)]"
image_00027.png,"[(396, 708), (362, 706), (545, 698), (514, 692), (412, 692), (120, 692), (679, 691), (7, 686), (134, 675), (339, 619), (260, 557), (632, 552), (590, 536), (189, 518), (427, 514), (639, 506), (404, 506), (488, 485), (381, 482), (25, 467), (51, 460), (483, 449), (715, 444), (700, 417), (682, 394), (64, 385), (718, 361), (574, 338), (150, 333), (111, 325), (372, 322), (556, 314), (714, 312), (561, 263), (38, 257), (188, 225), (640, 224), (610, 199), (468, 188), (89, 91), (134, 89), (150, 60), (58, 59), (362, 51), (636, 41), (381, 33), (55, 29), (179, 13)]"
image_00028.png,"[(612, 716), (46, 692), (116, 684), (440, 670), (345, 659), (410, 650), (316, 641), (160, 632), (627, 626), (507, 621), (425, 606), (454, 599), (2, 590), (447, 545), (567, 516), (627, 496), (436, 489), (416, 489), (441, 448), (283, 444), (162, 435), (44, 424), (102, 409), (463, 391), (249, 345), (542, 343), (106, 342), (533, 336), (200, 336), (207, 331), (439, 319), (446, 307), (407, 274), (30, 230), (486, 182), (522, 105), (497, 103), (365, 89), (238, 73), (497, 60), (113, 43), (159, 39), (70, 32)]"
image_00029.png,"[(48, 718), (471, 697), (24, 681), (456, 675), (667, 665), (403, 656), (358, 622), (281, 607), (45, 595), (296, 573), (152, 565), (333, 562), (572, 562), (431, 561), (99, 530), (6, 516), (661, 487), (607, 482), (544, 480), (335, 480), (419, 470), (480, 453), (663, 444), (65, 445), (336, 424), (243, 415), (100, 399), (698, 397), (92, 391), (642, 388), (359, 372), (498, 324), (680, 322), (515, 319), (534, 313), (271, 302), (574, 300), (651, 299), (329, 290), (601, 283), (88, 268), (273, 261), (185, 262), (101, 261), (210, 252), (388, 245), (162, 232), (159, 229), (12, 216), (449, 197), (66, 198), (13, 198), (359, 176), (119, 158), (46, 152), (102, 147), (409, 137), (618, 131), (242, 129), (398, 109), (230, 101), (408, 95), (533, 90), (332, 82), (354, 68), (567, 67), (93, 61), (329, 49), (335, 44), (497, 40), (260, 23), (78, 8)]"
image_00030.png,"[(202, 689), (507, 686), (496, 681), (111, 681), (544, 676), (470, 652), (287, 642), (673, 636), (437, 627), (364, 604), (217, 586), (306, 477), (541, 459), (202, 453), (380, 425), (244, 392), (235, 392), (407, 373), (633, 337), (582, 328), (387, 326), (566, 312), (596, 297), (179, 291), (64, 289), (38, 285), (532, 268), (54, 253), (55, 248), (147, 203), (15, 203), (174, 197), (51, 193), (422, 162), (609, 161), (388, 158), (23, 141), (247, 134), (599, 132), (511, 91), (115, 88), (562, 85), (395, 78), (139, 64), (314, 16), (372, 12), (383, 8)]"
image_00031.png,"[(655, 717), (659, 714), (330, 711), (628, 696), (708, 689), (515, 683), (239, 659), (673, 652), (80, 634), (370, 629), (700, 625), (161, 623), (692, 615), (440, 606), (43, 605), (609, 596), (312, 566), (603, 565), (320, 563), (41, 562), (253, 559), (203, 518), (250, 513), (536, 504), (544, 501), (573, 500), (46, 479), (408, 452), (586, 419), (686, 396), (166, 395), (659, 390), (250, 382), (370, 380), (101, 378), (503, 373), (423, 373), (34, 373), (375, 367), (217, 353), (96, 343), (250, 333), (371, 329), (456, 328), (170, 314), (279, 311), (445, 295), (425, 293), (21, 287), (485, 285), (544, 272), (126, 249), (242, 246), (66, 245), (255, 230), (394, 205), (486, 204), (615, 198), (264, 197), (200, 190), (380, 169), (415, 162), (686, 159), (365, 157), (679, 155), (295, 134), (101, 105), (544, 104), (512, 101), (35, 75), (704, 75), (300, 75), (562, 68), (587, 55), (650, 50), (612, 46), (77, 40), (681, 27), (487, 19), (652, 8)]"
image_00032.png,"[(26, 718), (282, 702), (443, 697), (58, 693), (568, 676), (129, 676), (147, 666), (335, 658), (567, 656), (348, 656), (10, 654), (20, 634), (37, 618), (651, 601), (205, 591), (566, 572), (356, 572), (615, 568), (502, 561), (494, 560), (182, 554), (126, 520), (396, 516), (338, 506), (420, 501), (52, 495), (329, 479), (3, 477), (449, 468), (233, 456), (228, 447), (644, 440), (181, 437), (577, 407), (485, 405), (202, 405), (211, 400), (391, 386), (579, 383), (221, 342), (372, 323), (486, 319), (93, 314), (382, 306), (132, 306), (175, 306), (111, 303), (0, 278), (567, 263), (640, 256), (453, 210), (42, 206), (189, 190), (486, 178), (398, 170), (344, 151), (175, 150), (59, 140), (442, 138), (553, 133), (177, 134), (211, 119), (420, 111), (17, 108), (244, 106), (590, 88), (246, 64), (353, 38), (221, 25), (711, 20), (188, 12), (181, 13), (196, 11), (165, 10), (181, 7), (546, 6), (190, 0)]"
